"";"";"";"";"fazer";""
"1";"fazer";"0.218150611615854";"-0.304850333560447";"0.983447337805352";"67"
"2";"diante";"0.350327859266459";"-0.397130484757932";"0.960890037767097";"75"
"3";"qualquer";"-0.156124399042826";"-0.153001017925652";"0.951815859032224";"77"
"4";"segundo";"-0.0333576969574677";"-0.105312947026713";"0.947884869389445";"80"
"5";"excepcionalmente";"0.637041013364643";"-0.189682580108861";"0.937241758224458";"86"
"6";"porque";"0.244654259793831";"-0.285992736239649";"0.933619013584505";"88"
"7";"apenas";"0.021551925754075";"0.0919497507420799";"0.922754243091644";"90"
"8";"anteriormente";"0.587533272067409";"-0.15615629843966";"0.914996166616027";"93"
"9";"indiretamente";"0.50680590118611";"-0.339139378382037";"0.914227285822462";"95"
"10";"sobre";"-0.21188330434299";"-0.0370346395896183";"0.911608935011941";"96"
"11";"qual";"0.149443143746991";"0.136823755395155";"0.909866831231925";"98"
"12";"devidamente";"0.504235882627992";"-0.402284482264456";"0.907740287055127";"99"
"13";"dizer";"-0.0781997873825537";"-0.290411762201291";"0.906438038503863";"100"
"14";"isso";"0.0247456100305003";"-0.126165569886516";"0.905831938779205";"101"
"15";"outro";"-0.213202903344788";"-0.265360466054437";"0.90269061049198";"108"
"16";"primeiro";"0.209793167627564";"-0.392871243020279";"0.898669571747252";"114"
"17";"especificamente";"0.516631632275804";"-0.340747585140642";"0.885376938928762";"123"
"18";"maioria";"0.616599200103013";"-0.382404421128173";"0.880933362090273";"128"
"19";"essa";"0.00532758638509872";"-0.0494092963481934";"0.878069107962891";"131"
"20";"entao";"0.409294730934171";"-0.380550525725841";"0.874394411917967";"136"
"21";"posteriormente";"0.955661591766231";"-0.424950196575683";"0.872503380777036";"140"
"22";"manifestamente";"0.650385976135173";"-0.556524999446747";"0.87205313526729";"141"
"23";"vinte";"0.230129864950465";"-0.320689736613457";"0.871232303068754";"142"
"24";"nenhum";"-0.144120835815497";"-0.435566187045339";"0.871214985933764";"143"
"25";"nossa";"-0.613091275631589";"-0.386741432542607";"0.867211264324026";"148"
"26";"metaforicamente";"0.712451470880442";"-0.355380481073018";"0.865424135993035";"149"
"27";"agora";"0.344997144824066";"-0.524915014326244";"0.860492215947822";"156"
"28";"antes";"0.54049116507866";"-0.341864485920342";"0.859844555099188";"158"
"29";"automaticamente";"0.201465775586755";"-0.466733368255716";"0.858144012443149";"163"
"30";"temporariamente";"-0.330952977784431";"-0.31014938545838";"0.858144012443149";"164"
"31";"tecnicamente";"0.0239928577963598";"-0.414538707323271";"0.858144012443149";"165"
"32";"liminarmente";"0.516980752501071";"-0.588033489732973";"0.856852154172879";"171"
"33";"quem";"-0.286028126567103";"0.0838980252722582";"0.856242591021223";"174"
"34";"previamente";"0.0282079846525765";"0.207774274244629";"0.855771564949489";"175"
"35";"terceiro";"-0.12065533579564";"-0.257077965014229";"0.855508344497638";"176"
"36";"pessoalmente";"0.679770097825195";"-0.0130082044101303";"0.852879603406123";"182"
"37";"legitimamente";"1.03891461810594";"-0.571005890806951";"0.851992966094624";"184"
"38";"tempo";"-0.446056075625011";"-0.00418145954622471";"0.849689787140925";"191"
"39";"senao";"0.118209092627729";"-0.450598284937138";"0.848855101234397";"193"
"40";"alguem";"-1.01984488127752";"0.0183376473776948";"0.848567636793559";"194"
"41";"seis";"0.403977708590785";"-0.372258548705088";"0.847667145774068";"199"
"42";"constitucionalmente";"-0.191647546606081";"0.0817441653804768";"0.847421242457207";"200"
"43";"regionalmente";"-2.93946409944661";"-0.197071646421784";"0.846635044528651";"202"
"44";"catorze";"-2.93946409944661";"-0.197071646421784";"0.846635044528651";"204"
"45";"infelizmente";"-1.17539944342518";"-0.283074145786838";"0.846409921773778";"206"
"46";"taxativamente";"0.712451470880442";"-0.355380481073018";"0.845748407217152";"207"
"47";"interinamente";"0.712451470880442";"-0.355380481073018";"0.845748407217152";"208"
"48";"internacionalmente";"-1.71039174019701";"-0.396943853255351";"0.843722302423297";"211"
"49";"isto";"-0.165653745934715";"-0.0107367916612904";"0.84297420219172";"212"
"50";"pronto";"0.796808797607766";"-0.594428955127258";"0.841869368979344";"213"
"51";"implicitamente";"0.99473564112416";"-0.634625124956712";"0.841374098918624";"214"
"52";"treze";"0.306683074177436";"-0.337790610556214";"0.840525559304103";"215"
"53";"abusivamente";"0.306683074177436";"-0.337790610556214";"0.840525559304103";"216"
"54";"exatamente";"0.118354912206296";"-0.477959263970047";"0.840456290764142";"217"
"55";"obviamente";"-0.160091021569364";"-0.199895436041132";"0.840366241662193";"218"
"56";"proporcionalmente";"-0.200527421701322";"-0.31580327241021";"0.839919459579446";"220"
"57";"restritivamente";"0.0484668217300682";"-0.326597056590976";"0.837467353264831";"222"
"58";"sequer";"0.520978037327504";"-0.29184230403282";"0.837037888317074";"223"
"59";"esse";"-0.0936617301252618";"-0.0663166451758648";"0.834322561550608";"226"
"60";"consoante";"0.315872813878487";"-0.0237570241777061";"0.833868852613864";"227"
"61";"tres";"-0.00406650452538996";"-0.147387512937974";"0.833200411203242";"228"
"62";"nada";"0.0692621948791248";"-0.38631591222407";"0.832376115577708";"231"
"63";"cuja";"0.208840188071259";"-0.0911328697619247";"0.832296456756753";"232"
"64";"unilateralmente";"0.975916696441245";"-0.616008815364465";"0.831465234277222";"233"
"65";"embora";"0.321836922434787";"-0.156110234412205";"0.830769085450616";"234"
"66";"substancialmente";"0.583055988510108";"0.265042644889053";"0.830505864998764";"235"
"67";"criminalmente";"1.28650979630954";"-0.601290042134128";"0.83012488802898";"236"
"68";"durante";"-0.118896995991311";"0.0133077355291703";"0.829771618475179";"241"
"69";"decretado";"0.0472842472304314";"-0.464994259090215";"0.828261564304032";"245"
"70";"exclusivamente";"0.448391083624174";"0.410445229983208";"0.826013800182302";"252"
"71";"diretamente";"0.232254912161133";"0.383158470812644";"0.824874332699946";"255"
"72";"definitivamente";"0.707129885632077";"-0.978167892319594";"0.823402376225778";"258"
"73";"quando";"0.0405266437503002";"-0.362963217250189";"0.821130368115061";"260"
"74";"dez";"0.0656005305309104";"0.489864364817274";"0.81895533596029";"266"
"75";"futuramente";"1.70044606673345";"-1.33273673466595";"0.817476452632126";"270"
"76";"acima";"0.244574430970522";"-0.180738124836464";"0.817382940103179";"272"
"77";"alegadamente";"0.514124851954383";"-0.660405369395153";"0.816582888466631";"274"
"78";"plenamente";"0.21394670661717";"-0.479451170195571";"0.816295424025793";"275"
"79";"praticamente";"-0.0154510825502179";"0.654659683581197";"0.815765519695092";"277"
"80";"meramente";"0.159747275308776";"-0.368367884885099";"0.815720495144118";"278"
"81";"pro";"0.301737412215602";"-0.456013013676222";"0.812918582702701";"281"
"82";"tudo";"-0.029262705557154";"0.221163028051621";"0.808475005864212";"290"
"83";"objetivamente";"0.590957718844816";"0.486456427416712";"0.808308761368306";"291"
